p,Tu,phi,egr,Su,deltaL,completed
100000.0,300.0,0.9,0.45,0.3379311321249112,0.0004172246618148989,True
100000.0,300.0,0.9,0.5,,,False
100000.0,300.0,0.9,0.55,,,False
100000.0,300.0,0.9,0.6,,,False
100000.0,300.0,1.0,0.0,1.6786514926894414,0.0002601924913208074,True
100000.0,300.0,1.0,0.05,1.5352880337083363,0.00026483009710868624,True
100000.0,300.0,1.0,0.1,1.3906200425232655,0.00027121361828893916,True
100000.0,300.0,1.0,0.15,1.2448266633842533,0.00027734229149469007,True
100000.0,300.0,1.0,0.2,1.099537802229311,0.00028407049624887097,True
100000.0,300.0,1.0,0.25,0.9550734946629537,0.00029323433891190653,True
100000.0,300.0,1.0,0.3,0.8119222817192374,0.00031602877288990685,True
100000.0,300.0,1.0,0.35,0.6727563097023385,0.000305884657008104,True
100000.0,300.0,1.0,0.4,0.5375704943576162,0.0003540848454893499,True
100000.0,300.0,1.0,0.45,0.3924756637087239,0.00036972108659040677,True
100000.0,300.0,1.0,0.5,,,False
100000.0,300.0,1.0,0.55,,,False
100000.0,300.0,1.0,0.6,,,False
100000.0,300.0,1.1,0.0,1.7668326823494824,0.0002635446711041142,True
100000.0,300.0,1.1,0.05,1.6212610929888718,0.0002679934050763109,True
100000.0,300.0,1.1,0.1,1.4740044730793282,0.0002738551276744543,True
100000.0,300.0,1.1,0.15,1.3252854997488057,0.00027776209170019277,True
100000.0,300.0,1.1,0.2,1.1762811923507794,0.00028958792021752653,True
100000.0,300.0,1.1,0.25,1.0282451578653693,0.0002926274106653902,True
100000.0,300.0,1.1,0.3,0.8808457160715084,0.0003071361493870875,True
100000.0,300.0,1.1,0.35,0.7364483341560703,0.0002962793766480883,True
100000.0,300.0,1.1,0.4,0.5958028950746156,0.00032732872904162296,True
100000.0,300.0,1.1,0.45,0.4584795784136042,0.00036251374199581306,True
100000.0,300.0,1.1,0.5,0.3260745981750421,0.0004377848412819487,True
100000.0,300.0,1.1,0.55,,,False
100000.0,300.0,1.1,0.6,,,False
100000.0,300.0,1.2,0.0,1.829799616342959,0.00026614100510717706,True
100000.0,300.0,1.2,0.05,1.6831000656517878,0.0002704609693737294,True
100000.0,300.0,1.2,0.1,1.5341694827084205,0.0002754880426333226,True
100000.0,300.0,1.2,0.15,1.3839263517454707,0.00027952617546461695,True
100000.0,300.0,1.2,0.2,1.2331380618584147,0.00027857848838837204,True
100000.0,300.0,1.2,0.25,1.0818809525524795,0.0002860036812645611,True
100000.0,300.0,1.2,0.3,0.9314288660920707,0.00030602887725803126,True
100000.0,300.0,1.2,0.35,0.7827535004163122,0.0003260780397429594,True
100000.0,300.0,1.2,0.4,0.6375462028680486,0.00034687291600556716,True
100000.0,300.0,1.2,0.45,0.49779393258946236,0.0003820849712447721,True
100000.0,300.0,1.2,0.5,0.36258587009352,0.0004392592345047688,True
100000.0,300.0,1.2,0.55,,,False
100000.0,300.0,1.2,0.6,,,False
100000.0,300.0,1.3,0.0,1.8704699312960393,0.0002674884793276309,True
100000.0,300.0,1.3,0.05,1.7237820225443692,0.00026975922617471904,True
100000.0,300.0,1.3,0.1,1.574781867416309,0.00027694138387274295,True
100000.0,300.0,1.3,0.15,1.4239523250354784,0.00027806077667155883,True
100000.0,300.0,1.3,0.2,1.2718283661861676,0.00027991350307127676,True
100000.0,300.0,1.3,0.25,1.119049264488565,0.00029048887853181597,True
100000.0,300.0,1.3,0.3,0.9665397480041533,0.0003056989517764821,True
100000.0,300.0,1.3,0.35,0.8157351589418333,0.0003187483851760062,True
100000.0,300.0,1.3,0.4,0.6676750941342092,0.00034265198968990026,True
100000.0,300.0,1.3,0.45,0.5242727507274447,0.0003780116800289126,True
100000.0,300.0,1.3,0.5,0.3859488305827627,0.0004324008764738125,True
100000.0,300.0,1.3,0.55,,,False
100000.0,300.0,1.3,0.6,,,False
100000.0,300.0,1.4,0.0,1.8929715106363825,0.0002654546877188099,True
100000.0,300.0,1.4,0.05,1.7470715196748212,0.00026897706191204537,True
100000.0,300.0,1.4,0.1,1.5986977580930448,0.0002674249329887528,True
100000.0,300.0,1.4,0.15,1.4480362870171972,0.0002668421342190911,True
100000.0,300.0,1.4,0.2,1.2957928277204032,0.0002751473601325298,True
100000.0,300.0,1.4,0.25,1.142549848000215,0.00029285997047977247,True
100000.0,300.0,1.4,0.3,0.9892362304319379,0.0003064682077484111,True
100000.0,300.0,1.4,0.35,0.8370450499901917,0.00031812338515510433,True
100000.0,300.0,1.4,0.4,0.6873421387148326,0.000342278604536467,True
100000.0,300.0,1.4,0.45,0.5419601386128872,0.00037566327095838196,True
100000.0,300.0,1.4,0.5,0.39872344546463573,0.000409694589512252,True
100000.0,300.0,1.4,0.55,,,False
100000.0,300.0,1.4,0.6,,,False
100000.0,300.0,1.5,0.0,1.900148992621249,0.0002571516616392989,True
100000.0,300.0,1.5,0.05,1.7558205144336634,0.00026911543202487047,True
100000.0,300.0,1.5,0.1,1.608983934872895,0.00026379588044551596,True
100000.0,300.0,1.5,0.15,1.4595020280048443,0.0002693809080912794,True
100000.0,300.0,1.5,0.2,1.3079594621767046,0.00027676874918411036,True
100000.0,300.0,1.5,0.25,1.156367979548067,0.00025826284377479416,True
100000.0,300.0,1.5,0.3,1.0021114801659243,0.0003025461973375162,True
100000.0,300.0,1.5,0.35,0.849556542143425,0.0003209141632904211,True
100000.0,300.0,1.5,0.4,0.6992093406950077,0.0003434931278783258,True
100000.0,300.0,1.5,0.45,0.5524691087797742,0.00037817758232343426,True
100000.0,300.0,1.5,0.5,0.4085773201099215,0.0004107284154422131,True
100000.0,300.0,1.5,0.55,,,False
100000.0,300.0,1.5,0.6,,,False
100000.0,300.0,1.6,0.0,1.8954891114523142,0.0002599481358187487,True
100000.0,300.0,1.6,0.05,1.7535394616981654,0.00026317094761722077,True
100000.0,300.0,1.6,0.1,1.6085092002109675,0.0002658784290025546,True
100000.0,300.0,1.6,0.15,1.4607903070879078,0.0002766459324512175,True
100000.0,300.0,1.6,0.2,1.3109395761119977,0.00028387834253148586,True
100000.0,300.0,1.6,0.25,1.1593472433390457,0.00029279971317460883,True
100000.0,300.0,1.6,0.3,1.0071844701457946,0.0003050341436899347,True
100000.0,300.0,1.6,0.35,0.8573490755343675,0.00029456854234863306,True
100000.0,300.0,1.6,0.4,0.7049193344953324,0.0003457162291874369,True
100000.0,300.0,1.6,0.45,0.5581191200502331,0.0003800514308081911,True
100000.0,300.0,1.6,0.5,0.41111895893073225,0.0004123025542379072,True
100000.0,300.0,1.6,0.55,,,False
100000.0,300.0,1.6,0.6,,,False
100000.0,300.0,1.7,0.0,1.8817148818783394,0.0002545413076154899,True
100000.0,300.0,1.7,0.05,1.7425376145666958,0.00024507616422790097,True
100000.0,300.0,1.7,0.1,1.6003093749592874,0.00024935810443531194,True
